"LSBTI","LSBTI"
"Medikament","Medikament"
"minderjährig","minderjährig"
"MSM","MSM"
"Nachfrage","Nachfrage"
"Nachweis","Nachweis"
"Öffnungszeiten","Öffnungszeiten"
"Outen (jemanden)","Outen (jemanden)"
"Passfoto (auch ""biometrisch""?)","Passfoto (auch ""biometrisch""?)"
"Polizei","Polizei"
"Prozesskostenhilfe/ Kostenübernahme","Prozesskostenhilfe/ Kostenübernahme"
"Prozess","Prozess"
"Prüfung (von Anträgen)","Prüfung (von Anträgen)"
"Psychiater","Psychiater"
"Psychologe","Psychologe"
"Psychopharmaka","Psychopharmaka"
"psycho-sozial","psycho-sozial"
"Queer","Queer"
"Rassismus","Rassismus"
"Rechte und Pflichten","Rechte und Pflichten"
"rechtlicher Vater","rechtlicher Vater"
"Rechtsanwalt*in","Rechtsanwalt*in"
"Regierung","Regierung"
"Registrierung","Registrierung"
"Residenzpflicht/räumliche Beschränkung","Residenzpflicht/räumliche Beschränkung"
"Rezept","Rezept"
"Sachbearbeiter*in","Sachbearbeiter*in"
"Schutzbedürftige(r)","Schutzbedürftige(r)"
"Schutzbedürftigkeit","Schutzbedürftigkeit"
"Schwangerschaft/schwanger","Schwangerschaft/schwanger"
"Schweigepflicht","Schweigepflicht"
"Schweigepflichtsentbindung","Schweigepflichtsentbindung"
"Schwuler/schwul","Schwuler/schwul"
"Selbstständigkeit (Arbeit)","Selbstständigkeit (Arbeit)"
"Seniorenheim","Seniorenheim"
"Sexualverhalten","Sexualverhalten"
"Sexuelle Interessen/Präferenzen","Sexuelle Interessen/Präferenzen"
"Sexuelle oder geschlechtliche Nonkonformität","Sexuelle oder geschlechtliche Nonkonformität"
"Sexuelle Orientierung","Sexuelle Orientierung"
"Sexuelle und geschlechtliche Minderheiten","Sexuelle und geschlechtliche Minderheiten"
"Sorgeberechtigte","Sorgeberechtigte"
"Sorgerecht (alleiniges/geteiltes)","Sorgerecht (alleiniges/geteiltes)"
"Sorgerechtserklärung","Sorgerechtserklärung"
"Staatsangehörigkeit","Staatsangehörigkeit"
"Status","Status"
"strafbar","strafbar"
"Strafe Strafverfahren","Strafe Strafverfahren"
"Subsidiärer Schutz","Subsidiärer Schutz"
"Suizidalität","Suizidalität"
"Suizid","Suizid"
"Termin","Termin"
"Trans*Frau","Trans*Frau"
"Transgender","Transgender"
"Transition (Geschlechtsangleichung)","Transition (Geschlechtsangleichung)"
"Trans*Mann","Trans*Mann"
"Transphobie/ Transfeindlichkeit","Transphobie/ Transfeindlichkeit"
"Transsexuell/Transsexuelle*r","Transsexuell/Transsexuelle*r"
"Trauma","Trauma"
"Übersetzer*in","Übersetzer*in"
"Umrechnung (einer Note)","Umrechnung (einer Note)"
"Umverteilung","Umverteilung"
"ungeklärt","ungeklärt"
"Unterhaltsvorschuss","Unterhaltsvorschuss"
"Unterhalt","Unterhalt"
"Unterkunft (für Geflüchtete, also im Französischen zum Beispiel ""foyer"")","Unterkunft (für Geflüchtete, also im Französischen zum Beispiel ""foyer"")"
